score_date,account_id,prev_rating,curr_rating,migration_direction,pd,expected_loss
2024-01-31,A00000001,5,4,UPGRADE,0.06904085259414924,61.623880101025534
2024-01-31,A00000004,5,3,UPGRADE,0.021973383605277376,692.2306008823534
2024-01-31,A00000005,5,3,UPGRADE,0.019545368898437415,319.6155993700216
2024-01-31,A00000008,1,4,DOWNGRADE,0.0426704927429612,36.92027047903567
2024-01-31,A00000010,1,4,DOWNGRADE,0.039478770984821776,2732.302402789634
2024-01-31,A00000011,7,4,UPGRADE,0.03116888461380469,63.38091387342189
2024-01-31,A00000012,6,4,UPGRADE,0.04431144859350694,0
2024-01-31,A00000014,3,4,DOWNGRADE,0.04760795014266556,119.77707980368301
2024-01-31,A00000019,1,4,DOWNGRADE,0.04811917943428505,204.22318750273124
2024-01-31,A00000021,5,4,UPGRADE,0.03725759740842388,38.52789519206409
2024-01-31,A00000023,3,4,DOWNGRADE,0.03499459774775828,1753.2661559747785
2024-01-31,A00000024,3,4,DOWNGRADE,0.03990414213518459,151.90609067666733
2024-01-31,A00000026,3,4,DOWNGRADE,0.041924026166710704,10473.279995736706
2024-01-31,A00000028,2,3,DOWNGRADE,0.025344878717809077,0
2024-01-31,A00000033,1,3,DOWNGRADE,0.023738205173526088,327.5781339557826
2024-01-31,A00000035,3,4,DOWNGRADE,0.05433832955170419,1015.5458048871382
2024-01-31,A00000036,3,4,DOWNGRADE,0.04526883377251663,0
2024-01-31,A00000041,6,3,UPGRADE,0.026394950632673827,190.93489540732395
2024-01-31,A00000042,6,3,UPGRADE,0.02856034317918137,167.5038423150126
2024-01-31,A00000045,4,3,UPGRADE,0.02856034317918137,1131.9011646490037
2024-01-31,A00000047,2,3,DOWNGRADE,0.02576433648064646,468.5120252358087
2024-01-31,A00000049,4,3,UPGRADE,0.0210954038032358,0
2024-01-31,A00000050,4,3,UPGRADE,0.02378490060207898,134.25975821133383
2024-01-31,A00000052,5,3,UPGRADE,0.022459478834499152,59.4473057850227
2024-01-31,A00000053,5,3,UPGRADE,0.023360751771988625,4233.462914552892
2024-01-31,A00000054,5,3,UPGRADE,0.024169037627935066,103.009948935111
2024-01-31,A00000056,2,3,DOWNGRADE,0.027884056687285462,464.36157842850224
2024-01-31,A00000057,2,3,DOWNGRADE,0.018964329506603997,152.0254614134452
2024-01-31,A00000058,5,4,UPGRADE,0.04686917327342503,254.05687294666384
2024-01-31,A00000059,5,4,UPGRADE,0.04440394373994475,48.34250651774887
2024-01-31,A00000061,2,4,DOWNGRADE,0.04398440863333547,155.47487806587682
2024-01-31,A00000066,6,3,UPGRADE,0.021623370505559285,1651.892252163466
2024-01-31,A00000067,6,3,UPGRADE,0.023360751771988625,377.26432429508134
2024-01-31,A00000072,7,3,UPGRADE,0.023360751771988625,2700.4994865801373
2024-01-31,A00000076,3,4,DOWNGRADE,0.04526883377251663,0
2024-01-31,A00000078,5,4,UPGRADE,0.033659952848813235,1448.6422269723005
2024-01-31,A00000079,5,4,UPGRADE,0.030727522962940425,107.22768595716579
2024-01-31,A00000084,1,4,DOWNGRADE,0.050782941254253096,493.1442186229718
2024-01-31,A00000085,2,3,DOWNGRADE,0.01879613477567586,211.27723347944243
2024-01-31,A00000088,4,3,UPGRADE,0.02856034317918137,262.5792612349138
2024-01-31,A00000089,2,3,DOWNGRADE,0.018458052967874367,24.473584582717674
2024-01-31,A00000091,5,3,UPGRADE,0.019385177827019106,344.08017008029424
2024-01-31,A00000092,5,3,UPGRADE,0.02633203726595041,133.32600221196267
2024-01-31,A00000095,1,4,DOWNGRADE,0.030727522962940425,141.26621474757414
2024-01-31,A00000097,,4,NEW,0.03240123384079482,491.8331520339067
2024-01-31,A00000099,,3,NEW,0.01748089875379115,38.042194081481604
2024-01-31,A00000100,3,4,DOWNGRADE,0.04777967963943846,551.4888296926797
2024-01-31,A00000103,2,3,DOWNGRADE,0.018026489817812606,170.63984031052348
2024-01-31,A00000104,1,4,DOWNGRADE,0.03684427002930762,177.2972525352678
2024-01-31,A00000105,2,4,DOWNGRADE,0.033075167036830624,190.36940488040426
2024-01-31,A00000108,1,4,DOWNGRADE,0.04548251478742126,346.1225629168542
2024-01-31,A00000109,1,4,DOWNGRADE,0.03047049704075253,0
2024-01-31,A00000110,,4,NEW,0.051473285941730805,193.51105180881757
2024-01-31,A00000111,,4,NEW,0.03764667601464227,450.02478864481225
2024-01-31,A00000112,6,4,UPGRADE,0.04992296279216383,41.335464347469774
2024-01-31,A00000126,3,4,DOWNGRADE,0.05350097816506306,106.21778068805786
2024-01-31,A00000129,1,3,DOWNGRADE,0.02576433648064646,1714.957464360073
2024-01-31,A00000130,2,3,DOWNGRADE,0.021623370505559285,1214.6236242755324
2024-01-31,A00000134,2,3,DOWNGRADE,0.027270646044114846,218.13015966105962
2024-01-31,A00000135,2,3,DOWNGRADE,0.026260241863462697,100.24985197646667
2024-01-31,A00000139,1,3,DOWNGRADE,0.025450919759737095,7405.406015871113
2024-01-31,A00000145,4,3,UPGRADE,0.018964329506603997,71.19389457909453
2024-01-31,A00000150,2,4,DOWNGRADE,0.04686917327342503,427.94332197153506
2024-01-31,A00000151,6,3,UPGRADE,0.021623370505559285,561.0005088961015
2024-01-31,A00000156,3,4,DOWNGRADE,0.05187255912947061,871.5650274179499
2024-01-31,A00000157,1,4,DOWNGRADE,0.033906791013031255,19.554215911170186
2024-01-31,A00000167,4,3,UPGRADE,0.024611188882117142,173.21453179989572
2024-01-31,A00000169,5,4,UPGRADE,0.04033614913646951,1484.282110536077
2024-01-31,A00000171,3,4,DOWNGRADE,0.04131293740431848,666.0873256044206
2024-01-31,A00000172,5,3,UPGRADE,0.028246544339559976,1446.8840081249616
2024-01-31,A00000173,5,3,UPGRADE,0.026394950632673827,1009.6505075523351
2024-01-31,A00000174,2,4,DOWNGRADE,0.04526883377251663,0
2024-01-31,A00000177,5,3,UPGRADE,0.019034801906677064,282.6867948561564
2024-01-31,A00000178,5,3,UPGRADE,0.018757812039480154,26.1304461571634
2024-01-31,A00000179,7,3,UPGRADE,0.02440403602226843,279.51075511372636
2024-01-31,A00000181,1,4,DOWNGRADE,0.03886099486387373,1902.3042629731647
2024-01-31,A00000190,7,4,UPGRADE,0.047104486806167994,1915.2394169832314
2024-01-31,A00000192,3,4,DOWNGRADE,0.049997481570494655,572.1645722426415
2024-01-31,A00000197,3,4,DOWNGRADE,0.041924026166710704,2439.6639307923074
2024-01-31,A00000199,3,4,DOWNGRADE,0.03886099486387373,2401.8920526434304
2024-01-31,A00000201,3,4,DOWNGRADE,0.03712028184624886,0
2024-01-31,A00000202,3,4,DOWNGRADE,0.06420255744722271,1250.1075778348948
2024-01-31,A00000204,5,4,UPGRADE,0.04041674118148828,0
2024-01-31,A00000205,6,4,UPGRADE,0.03990414213518459,1297.4335008685684
2024-01-31,A00000206,5,3,UPGRADE,0.01934374280154593,338.5919068111199
2024-01-31,A00000210,2,4,DOWNGRADE,0.04135787417995821,197.0597759069277
2024-01-31,A00000214,3,4,DOWNGRADE,0.044935060077134645,514.1360044816807
2024-01-31,A00000217,2,4,DOWNGRADE,0.04362148360957221,0
2024-01-31,A00000219,6,4,UPGRADE,0.041924026166710704,1462.2325557430408
2024-01-31,A00000220,6,4,UPGRADE,0.040770366146714795,149.68906182611323
2024-01-31,A00000221,6,4,UPGRADE,0.04953744113215315,51.771517805411854
2024-01-31,A00000224,2,4,DOWNGRADE,0.04957592249788785,817.360217259577
2024-01-31,A00000225,2,4,DOWNGRADE,0.04777967963943846,654.2564703403605
2024-01-31,A00000232,1,3,DOWNGRADE,0.021672379256608486,20.02470953315075
2024-01-31,A00000238,3,4,DOWNGRADE,0.036979214897264266,32.87678702058039
2024-01-31,A00000239,2,4,DOWNGRADE,0.033255309493420704,3490.9630076719
2024-01-31,A00000240,2,3,DOWNGRADE,0.0231583082504738,476.6499741967731
2024-01-31,A00000244,3,4,DOWNGRADE,0.03927998188115421,1352.5721006932633
2024-01-31,A00000246,,3,NEW,0.019174166985147473,149.46427481555708
2024-01-31,A00000251,4,3,UPGRADE,0.026394950632673827,578.9070684662563
2024-01-31,A00000252,4,3,UPGRADE,0.027708457737884284,135.53625060454232
2024-01-31,A00000254,2,3,DOWNGRADE,0.023738205173526088,5256.947829414559
2024-01-31,A00000256,3,4,DOWNGRADE,0.036266162860211476,50.89226100903119
2024-01-31,A00000257,3,4,DOWNGRADE,0.036538008188879936,0
2024-01-31,A00000259,6,3,UPGRADE,0.021860733982364235,32.835450937613075
2024-01-31,A00000260,6,3,UPGRADE,0.025046931742969097,8503.011983624348
2024-01-31,A00000265,6,4,UPGRADE,0.049997481570494655,10155.289363104632
2024-01-31,A00000270,2,3,DOWNGRADE,0.018661332948598702,50.0973513471592
2024-01-31,A00000272,2,4,DOWNGRADE,0.04431144859350694,0
2024-01-31,A00000274,5,3,UPGRADE,0.020155394965901446,47.13543186150083
2024-01-31,A00000275,5,3,UPGRADE,0.022214501998473943,17.480258405069172
2024-01-31,A00000276,2,3,DOWNGRADE,0.01838967583164414,289.9082959109054
2024-01-31,A00000277,2,3,DOWNGRADE,0.019698957406440776,119.8798675263763
2024-01-31,A00000279,5,4,UPGRADE,0.040770366146714795,199.64978198370514
2024-01-31,A00000280,5,3,UPGRADE,0.024220198829546617,276.43442374291635
2024-01-31,A00000284,5,3,UPGRADE,0.02781153005211879,606.0545399577958
2024-01-31,A00000288,5,4,UPGRADE,0.050782941254253096,927.3653464473923
2024-01-31,A00000290,5,4,UPGRADE,0.04760795014266556,77.52853513839034
2024-01-31,A00000293,3,4,DOWNGRADE,0.033418887012763014,690.0545671272189
2024-01-31,A00000294,2,3,DOWNGRADE,0.02537466228078256,74.54098853596106
2024-01-31,A00000297,2,4,DOWNGRADE,0.04329930520994202,132.59676132356174
2024-01-31,A00000301,2,4,DOWNGRADE,0.04686917327342503,72.64733574674197
2024-01-31,A00000304,7,3,UPGRADE,0.02461819945488278,91.16297740089142
2024-01-31,A00000305,7,3,UPGRADE,0.020313677772766884,93.05959865515555
2024-01-31,A00000306,4,3,UPGRADE,0.021623370505559285,3879.706544973083
2024-01-31,A00000312,2,4,DOWNGRADE,0.035186035999445024,1127.2621880688594
2024-01-31,A00000314,2,4,DOWNGRADE,0.047104486806167994,253.94367034501187
2024-01-31,A00000315,2,4,DOWNGRADE,0.04362148360957221,0
2024-01-31,A00000322,2,3,DOWNGRADE,0.017201187672940498,276.7935994866289
2024-01-31,A00000323,2,3,DOWNGRADE,0.02128508098409467,72.71788000614904
2024-01-31,A00000326,5,4,UPGRADE,0.04919027604316104,2225.2402249361944
2024-01-31,A00000329,2,4,DOWNGRADE,0.042365411936905024,96.57566348371948
2024-01-31,A00000330,2,4,DOWNGRADE,0.038850015212042704,37.16941211648875
2024-01-31,A00000332,2,3,DOWNGRADE,0.01934374280154593,363.7974807125323
2024-01-31,A00000333,2,3,DOWNGRADE,0.02218192212157902,111.57337689998072
2024-01-31,A00000335,1,3,DOWNGRADE,0.01994629420594979,4079.325362448224
2024-01-31,A00000337,3,4,DOWNGRADE,0.05350097816506306,8475.075228485372
2024-01-31,A00000339,3,4,DOWNGRADE,0.06776652193684454,526.0467750152172
2024-01-31,A00000341,6,4,UPGRADE,0.050782941254253096,8001.336831015033
2024-01-31,A00000344,1,3,DOWNGRADE,0.02913082033600155,5840.931317521998
2024-01-31,A00000346,5,3,UPGRADE,0.018757812039480154,1080.780403127333
2024-01-31,A00000348,,4,NEW,0.03329696813259202,27.30730139885054
2024-01-31,A00000349,5,4,UPGRADE,0.035747563877380484,562.5537558393349
2024-01-31,A00000350,2,4,DOWNGRADE,0.03894616946407149,0
2024-01-31,A00000351,2,4,DOWNGRADE,0.04658138809251191,14694.037558661905
2024-01-31,A00000355,7,3,UPGRADE,0.017201187672940498,24.014685617615186
2024-01-31,A00000358,3,4,DOWNGRADE,0.045242865910701,691.7075448352185
2024-01-31,A00000362,2,4,DOWNGRADE,0.033659952848813235,769.0164898295917
2024-01-31,A00000368,1,3,DOWNGRADE,0.028353157721638746,212.34980518845737
2024-01-31,A00000369,2,4,DOWNGRADE,0.03865712612950261,86.80849075781872
2024-01-31,A00000375,2,4,DOWNGRADE,0.03242070871086247,2736.2266616597876
2024-01-31,A00000376,1,3,DOWNGRADE,0.023324958971472458,38.562542387362406
2024-01-31,A00000378,3,4,DOWNGRADE,0.046373142235640305,3223.5160206251917
2024-01-31,A00000381,3,4,DOWNGRADE,0.03990414213518459,29.84789927569672
2024-01-31,A00000383,2,3,DOWNGRADE,0.018359175599242907,52.19077592444277
2024-01-31,A00000387,3,4,DOWNGRADE,0.05350097816506306,8087.810732706315
2024-01-31,A00000388,3,4,DOWNGRADE,0.04853207761710067,793.5919226474565
2024-01-31,A00000391,2,4,DOWNGRADE,0.06369441623869056,168.15015376735144
2024-01-31,A00000392,3,4,DOWNGRADE,0.047104486806167994,3692.9609920733824
2024-01-31,A00000393,3,4,DOWNGRADE,0.04329930520994202,144.1491783259688
2024-01-31,A00000395,7,4,UPGRADE,0.05350097816506306,13435.05466368713
2024-01-31,A00000397,2,4,DOWNGRADE,0.05088006376752171,804.9200011989253
2024-01-31,A00000402,3,4,DOWNGRADE,0.04329930520994202,102.79422841647924
2024-01-31,A00000404,2,3,DOWNGRADE,0.02856034317918137,248.1315118317193
2024-01-31,A00000405,2,3,DOWNGRADE,0.024220198829546617,155.81138494383583
2024-01-31,A00000406,6,4,UPGRADE,0.050782941254253096,1049.089991336468
2024-01-31,A00000407,6,4,UPGRADE,0.04760795014266556,256.9511757683742
2024-01-31,A00000409,3,4,DOWNGRADE,0.05167863455104849,459.78842910509707
2024-01-31,A00000410,3,4,DOWNGRADE,0.04957592249788785,709.2673546413072
2024-01-31,A00000415,6,3,UPGRADE,0.022214501998473943,276.59445823877644
2024-01-31,A00000423,5,4,UPGRADE,0.036266162860211476,175.2482534661427
2024-01-31,A00000429,3,4,DOWNGRADE,0.036266162860211476,536.2655742441755
2024-01-31,A00000435,2,4,DOWNGRADE,0.041567560776943964,658.1329546472373
2024-01-31,A00000437,2,4,DOWNGRADE,0.05783387150517253,35.12149807233993
2024-01-31,A00000438,4,3,UPGRADE,0.02440403602226843,0
2024-01-31,A00000439,5,4,UPGRADE,0.049396287502463256,227.78979571584372
2024-01-31,A00000441,5,4,UPGRADE,0.046373142235640305,325.27060343779175
2024-01-31,A00000442,5,4,UPGRADE,0.04777967963943846,347.919682214481
2024-01-31,A00000448,5,4,UPGRADE,0.04431144859350694,0
2024-01-31,A00000452,6,4,UPGRADE,0.04853207761710067,238.04231823984816
2024-01-31,A00000453,2,4,DOWNGRADE,0.0426704927429612,387.9949498087047
2024-01-31,A00000456,2,4,DOWNGRADE,0.04267858172031654,133.94800908666508
2024-01-31,A00000461,6,4,UPGRADE,0.041861010247948936,150.93322132979972
2024-01-31,A00000463,3,4,DOWNGRADE,0.06126807733702479,3129.837302618355
2024-01-31,A00000464,3,4,DOWNGRADE,0.04760795014266556,843.3442486693536
2024-01-31,A00000467,2,3,DOWNGRADE,0.027270646044114846,226.3815072112426
2024-01-31,A00000469,3,4,DOWNGRADE,0.030727522962940425,44.31481111371194
2024-01-31,A00000470,3,4,DOWNGRADE,0.06270969483977319,136.61064020777087
2024-01-31,A00000474,2,4,DOWNGRADE,0.03277262623605143,51.80233842049426
2024-01-31,A00000475,6,3,UPGRADE,0.024220198829546617,17.061797964479965
2024-01-31,A00000476,6,3,UPGRADE,0.02440403602226843,84.09902173739522
2024-01-31,A00000478,6,3,UPGRADE,0.026260241863462697,205.95024692881137
2024-01-31,A00000480,3,4,DOWNGRADE,0.03047049704075253,0
2024-01-31,A00000482,3,4,DOWNGRADE,0.03237631874593015,944.4710856155051
2024-01-31,A00000483,2,3,DOWNGRADE,0.02167161597301173,0
